#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
                                1M pop",Population
,World,692531695,12,6903487,0,"66,46,04,859",540,"2,10,23,349","37,139",88845,885.7,,,
,Europe,249726019,,2068324,,"24,58,85,359",400,"17,72,336","5,471",,,,,
,Asia,219273734,12,1548305,,"20,25,07,383",,"1,52,18,046","15,113",,,,,
,North America,127216504,,1639308,,"12,31,74,914",237,"24,02,282","5,855",,,,,
1,USA,107515738,,1169813,,"10,56,47,470",,"6,98,455",689,321129,3494,1181106131,3527741,334805269
,South America,68891759,,1358906,,"6,65,04,284",,"10,28,569","10,103",,,,,
2,India,44995629,,531917,,"4,44,62,245",,"1,467",N/A,31988,378,930797975,661721,1406631776
3,France,40138560,,167642,,"3,99,70,918",,0,869,612013,2556,271490188,4139547,65584518
4,Germany,38428685,,174352,,"3,82,40,600",,"13,733",N/A,458119,2078,122332384,1458359,83883596
5,Brazil,37717062,,704659,,"3,62,49,161",,"7,63,242",N/A,175140,3272,63776166,296146,215353593
6,Japan,33803572,,74694,,N/A,N/A,N/A,83,269169,595,100414883,799578,125584838
7,S. Korea,33201796,,35313,,"3,25,04,764",,"6,61,719",174,646832,688,15804065,307892,51329899
8,Italy,25912481,,191012,,"2,56,08,670",,"1,12,799",26,429992,3170,274257844,4551033,60262770
9,UK,24641596,,228144,,"2,44,13,272",211,180,N/A,359742,3331,522526476,7628357,68497907
10,Russia,22974289,,399814,,"2,24,24,710",,"1,49,765",N/A,157568,2742,273400000,1875095,145805947
11,Turkey,17232066,,102174,,N/A,N/A,N/A,,201399,1194,162743369,1902052,85561976
,Oceania,14586751,,29807,,"1,44,44,237",,"1,12,707",50,,,,,
12,Spain,13914811,,121760,,"1,37,62,417",,"30,634",231,297840,2606,471036328,10082298,46719142
,Africa,12836207,,258822,,"1,20,87,976",,"4,89,409",547,,,,,
13,Australia,11731399,,22325,,"1,16,98,223",,"10,851",22,450017,856,81916639,3142326,26068792
14,Vietnam,11621840,,43206,,"1,06,40,331",,"9,38,303",,117447,437,85826548,867342,98953541
15,Taiwan,10241506,,19005,,"1,02,22,498",,3,,428719,796,30742304,1286903,23888595
16,Argentina,10057945,,130527,,"99,27,418",,0,363,218602,2837,35716069,776264,46010234
17,Netherlands,8610372,,22992,,"85,87,380",,0,53,500270,1336,25984435,1509718,17211447
18,Mexico,7633355,,334336,,"68,85,378",,"4,13,641",N/A,58021,2541,20013810,152124,131562772
19,Iran,7612935,,146311,,"73,72,589",,"94,035",5,88499,1701,56934517,661854,86022837
20,Indonesia,6812670,,161894,,"66,45,399",,"5,377",N/A,24406,580,114158919,408975,279134505
21,Poland,6518138,,119635,,"53,35,940",,"10,62,563",53,172713,3170,38808509,1028318,37739785
22,Colombia,6376239,,142922,,"61,90,683",,"42,634",342,123780,2774,36951507,717327,51512762
23,Greece,6101379,,37089,,"60,64,290",,0,115,591412,3595,102228365,9909078,10316637
24,Austria,6081287,,22542,,"60,54,934",,"3,811",14,670727,2486,211273524,23302116,9066710
25,Portugal,5595211,,26957,,"55,66,135",,"2,119",61,551765,2658,46139518,4549993,10140570
26,Ukraine,5557995,,112418,,"54,45,577",,0,,128681,2603,32603805,754855,43192122
27,Chile,5289117,,64497,,"52,24,516",,104,13,274757,3350,49899295,2592145,19250195
28,Malaysia,5120581,,37164,,"50,69,820",,"13,597",2,154322,1120,68379667,2060803,33181072
29,Israel,4830733,,12585,,"47,98,473",,"19,675",21,517986,1349,41373364,4436346,9326000
30,Belgium,4802496,,34376,,"47,67,348",,772,43,411586,2946,37018657,3172590,11668278
31,DPRK,4772813,,74,,"47,72,739",,0,,183636,3,,,25990679
32,Thailand,4755175,,34425,,"46,92,636",,"28,114",N/A,67855,491,17270775,246450,70078203
33,Canada,4695593,,53086,,"46,37,400",237,"5,107",99,122318,1383,66343123,1728207,38388419
34,Czechia,4643022,,42812,,"46,00,087",,123,,432441,3987,57242691,5331456,10736784
35,Peru,4515610,,221261,,"42,94,349",,0,26,134057,6569,38753114,1150483,33684208
36,Switzerland,4407568,,14452,,"43,92,537",,579,39,502365,1647,23833472,2716487,8773637
37,Philippines,4173042,,66602,,"41,02,208",,"4,232",162,37091,592,35620955,316605,112508994
38,South Africa,4076463,,102595,,"39,12,506",,"61,362",192,67095,1689,26795090,441027,60756135
39,Romania,3409402,,68249,,"33,40,206",,947,38,179147,3586,27736118,1457392,19031335
40,Denmark,3182479,,8771,,"31,73,605",,103,4,545417,1503,129311908,22161614,5834950
